,options_a,options_b,options_c,options_d,year,answer,Explanation,shortQuestion,QuestionHeader
511,Nowadays,they used to be,spectacles are,costly than,SSC GD – 18/02/2019 (Shift-III),d,"Ans. (d) : In the above sentence, in the sense of showing comparison, 'costlier' would be appropriate  in place of 'costly'. Because comparative degree is al ways used to show comparison and it is clear from the us e of 'than' in the sentence. Correct sentence :-  Nowadays spectacles are costlier  than they used to be.",Nowadays spectacles are costly than they used to be,"From the given options, identify the segment in the sentence which contains the grammatical error."
512,skills in dance,allied art of painting,was known,is equal proficient,SSC GD – 11/02/2019 (Shift-II),d,"Ans. (d) :  In the above sentence, 'Adverb, 'equally' would be appropriate instead of 'equal'. Because adverb is used to modify an adjective (proficient).  Correct sentence :-   She was known for her skills in dance and music, sh e is equally  proficient in the allied art of painting.   H.  Conditional Sentence",She was known for her skills in dance and music; she is equal proficient in the allied art of painting,"From the given options, identify the segment in the sentence which contains the grammatical error."
513,When Mayank came,with him to,the circus,I shall go,SSC CHSL (Tier-I) 03/08/2023 (Shift-II)Spotting Error 78 YCT,a,"Ans. (a) :  In the above given sentence, the segment – 'when Mayank came ' is grammatically incorrect, because the sentence is showing the condition, when  the first clause is in simple present, then the second clause will be in simple future tense. (When + first clause (simple present), second claus e (simple future tense)]   Correct sentence – 'When Mayank Comes , I shall go with him to the circus.'","When Mayank came, / I shall go / with him to / the circus",The following sentence has been split into four segments Identify the segment that contains a grammatical error.
514,that it takes some,If you plant a seed,you will be noticed,time to grow,SSC MTS-13/07/2022 Shift-I,c,"Ans. (c) :  In the above sentence, 'you will notice' will be used instead of 'you will be noticed', because in t his type of conditional sentence if one clause is in pr esent tense, the main clause is future indefinite tense. Correct Sentence  – If you plant a seed you will notice  that it makes some time to grow.","If you plant a seed, / you will be noticed / that it takes some / time to grow",The following sentence has been split into fo ur segments Identify the segment that contains a grammatical error.
516,attended the marriage,Has the situation,I would have,been favourable,SSC Constable GD-26/11/2021 Shift-I,b,"Ans. (b) :  In the above sentence, 'had' is used instead of 'Has' because the sentence is conditional and if 'w ould have' is used in second clause then had + V3 form is used in the first clause.   Note –  'Had' is used at the beginning of the sentence to show the condition.   Correct Sentence– Had the situation been favourable, I would have attended the marriage.","Has the situation / been favourable, / I would have / attended the marriage",The following sentence has been split into four segments Identify the segment that contains a grammatical error.
517,if he had mistaken,He wonder,for a moment,the direction,SSC CHSL (Tier-I) –15/04/2021 (Shift-I),b,Ans. (b) :  In the above sentence 'He would have wondered' will be used instead of 'he wonder'  If + sub + had + v 3 ......would have + v 3 Correct Sentence -  He would have wondered  for a moment if he had mistaken the direction.,He wonder for a moment if he had mistaken the direction,"In the given sentence, identify the segment which contains the grammatical error."
518,That man would have,that way,if you went,attacked you,SSC CHSL (Tier-I) –13/04/2021 (Shift-I),c,"Ans. (c) :  In the above sentence, 'If you had gone' will be used instead of 'if you went'. Because when 'wou ld have' is used in principal clause, then 'if + had +  V3' is used in sub-ordinate clause.  Correct Sentence -   That man would have attacked you, if you had  gone that way.","That man would have attacked you, if you went that way",In the sentence identify the segment which contains the grammatical error.
519,on a business trip,No error,he is usually taking his wife,when he goes,SSC CPO-SI – 23/11/2020 (Shift-I),c,"Ans. (c) :  In the above sentence, 'takes' will be used instead of 'taking'. Because the above sentence is showing condition in such sentences, if first claus e is in present indefinite. then the second one will als o be in present indefinite.  Note :– 'verb 1 + s/es' is used with singular subject in present indefinite tense and simple sentence.  Correct sentence :-  When he goes on a business trip, he usually takes  his wife.","When he goes on a business trip, he is usually taking his wife","Identify the segment in the sentence which contains a grammatical error If there is no error, then select the option 'No error'."
520,She will come,though it doesn’t,to work,rain tomorrow,SSC CPO-SI – 25/11/2020 (Shift-II) Spotting Error 79 YCT,b,"Ans. (b) :  In the above sentence The use of (if) would be appropriate instead of 'though', because if woul d be used as a conjunction in conditional sentence. Whic h gives appropriate meaning to the sentence.  Correct sentence :-  She will come to work if  it doesn't rain tomorrow.",She will come to work though it doesn't rain tomorrow,Identify the segment in the sentence which contains a grammatical error.
521,If so many catches,had not being dropped,won the match,we would have,SSC CGL (Tier-I) – 07/06/2019 (Shift-III),b,"Ans: (b) In the above sentence, 'been' would be appropriate instead of 'being'. Because the given sentence is conditional sentence, type III and pass ive voice is used in 'if clause'.  A.V.–3 3If had V ...... would have V+ + +  P.V.— 33 If had been V ...... would have V+ + + +  Correct sentence :-  If so many catches had not been  dropped, we would have won the match.","If so many catches had not being dropped, we would have won the match",In the sentence identify the segment which contains the grammatical error.
522,no sooner did,he see the tiger,when he ran,as fast as he could,SSC CGL (Tier-I) – 10/06/2019 (Shift-II),c,"Ans: (c) In the above sentence, 'than' will be used instead of 'when'. Because co-relative conjunction 'than' is used with No-sooner'  Rule-  No sooner did →V1st........... than  No sooner had →V3rd........... than but-  Hardly had →V3rd........... when  Scarcely had →V3rd........... when  As soon as →V3rd..........., (comma)  All these rules are used in the same sense.  Correct sentence :-  No sooner did he see the tiger than  he ran as fast as he could.",No sooner did he see the tiger when he ran as fast as he could,In the sentence identify the segment which contains the grammatical error.
523,had started,the show,Entering,the hall,SSC CGL (Tier-I) – 13/06/2019 (Shift-III),c,"Ans: (c) In the above sentence, 'entered' will be used instead of 'entering'. Because as a rule, there is a sense of having two actions in the past, then for the act ion that happened first, the verb is in pasts perfect and fo r the action that happened later, the verb is in past ind efinite.   Correct sentence :-   When he entered  into the hall, the show had started.","Entering the hall, the show had started",In the sentence identify the segment which contains the grammatical error.
524,If I knew,recommended him,about him before,I will have,SSC MTS – 20/08/2019 (Shift-II),d,"Ans. (d) :   In the above sentence, 'would have' will be used instead of 'I will have' because given sentenc e is mix conditional whose structure is as follows.  IIIIf simple past, would have V form+ + +  Correct sentence  :- If I knew about him before, I would have  recommended  him.",If I knew about him before I will have recommended him,Identify the segment in the sentence which contains the grammatical error.
525,We will rest,when we will,reach the top,for sometime,SSC CGL (Tier-I) – 06/06/2019 (Shift-III),b,"Ans. (b) :  In the above sentence 'When we reach' would be appropriate instead of 'when we will reach ' because when two correlated sentence is in future tense, then subordinate clause is always in present  indefinite tense and principal clause is always in future indefinite tense.   Correct Sentence :-  We will rest for sometime when we reach  the top.",We will rest for sometime when we will reach the top,In the sentence identify the segment which contains the grammatical error.
526,mankind wouldn't lived,in a polluted world now,if the growth of population,had been controlled earlier,SSC CPO-SI – 13/12/2019 (Shift-II),a,"Ans. (a) :  In the above sentence, 'Mankind wouldn't have lived' would be appropriate instead of 'mankin d wouldn't lived'. Because if clause is a conditional  sentence  whose correct syntax is as follows-  If + sub + had +  ...., sub + would + have + v3 + ...  Correct Sentence :-   If the growth of population had been controlled ear lier, mankind wouldn't have  lived in a polluted world now.","If the growth of population had been controlled earlier, mankind wouldn't lived in a polluted world now",In the sentence identify the segment which contains the grammatical error.
527,Had you,lost our lives,not reached in time,we will have,SSC CGL (Tier-I) –13/08/2021 (Shift-I),d,"Ans. (d) :  In the above sentence, 'we would have' will be used instead of 'we will have' because the sente nce is in conditional sentence and in the first clause of conditional sentence- Had + V3 and in second clause would have + V3 is used. Spotting Error 80 YCT Note - Had + Subject + V3 + Other word + Subject + Would/Could/Might + have + V3 + Other word.  Correct Sentence  -  Had you not reached in time we would have  lost our lives.","Had you/not reached in time,/we will have/lost our lives",The following sentence has been split into fo ur segments Identify the segment that contains a grammatical error.
528,when the audience,roared with laughter,No sooner did,the comedian begin,SSC CHSL (Tier-I) –05/07/2019 (Shift-II),a,Ans: (a) In the above sentence 'Than' will be used instead of 'when' because the structure rule of no sooner in the sentence is as follow-  No sooner did + VIst .......... than  No sooner had + VIIIrd .........than Correct sentence :-  No sooner did  the comedian begin  his act than  the audience roared with laughter.,No sooner did the comedian begin his act when the audience roared with laughter,Identify the segment which contains the grammatical error.
529,When the boys,starts raining,were playing the match,it suddenly,SSC CHSL (Tier-I) 20/10/2020 (Shift-I),b,"Ans. (b) :  In the above sentence, 'started raining' would be appropriate in place of 'starts raining'. Because 'when' is used as a conjunction and introdu ces sub ordinate clause. In this situation, main clause  is used in simple past. Hence the use of V 2 form would be appropriate.  Correct sentence :-   When the boys were playing the match, it suddenly started  raining.","When the boys were playing the match, it suddenly starts raining",In the given sentence identify the segment which contains a grammatical error.
530,the series,they will win,if India will win,this match,SSC CHSL (Tier-I) 13/10/2020 (Shift-II),c,"Ans. (c) :  In the above sentence 'If India wins this match' would be appropriate instead of 'if India wi ll win this match'. Because 'will/shall (modals) is no t used in if clause.   If simple present,.... ..... simplefuture+ +  Correct sentence :-  If India win  this match, they will win the series.",If India will win this match they will win the series,Identify the segment in the given sentence which contains the grammatical error.
531,If I join,a software company,I am getting,a good deal of experience,SSC CPO-SI (Tier-II) 27/09/2019 (3 pm - 5 pm),c,"Ans. (c) : In the above sentence, 'I will get' would be appropriate instead of 'I am getting', because in conditional sentence 'if' clause is in the present indefinite, then the letter second clause will be u sed in future indefinite.   Correct sentence-  If I join a software company ......... I will get  a good deal of experience.",If I join a software company I am getting a good deal of experience,"Identify the segment in the sentence, which contains the grammatical error."
532,studied when,his friends,called him,Rakesh was,SSC MTS – 22/08/2019 (Shift-I),a,"Ans. (a) :  In the above sentence, 'studying' will be used instead of 'studies'.  Rule -  If some work is going on in the past and in the meantime.  Any event happened (for a short time) then ongoing work is kept in past continuous and the event that happened in the middle is kept in 'past' indefinite .   Correct sentence :  [Rakesh was studying  when his friends called  him.]",Rakesh was studied when his friends called him,Identify the segment in the sentence which contains the grammatical error.
533,she would have definitely,Had Rajani not taken,miss the train,a cab to the station,SSC MTS – 19/08/2019 (Shift-III),c,"Ans. (c) :  In the above sentence, 'missed the train' would be appropriate instead of 'miss the train'.   Rule- IIIrd Conditional sentence structure.   [If + subject + Had + v 3 ---sub +would have + v 3]    or  [Had + subject + v3, --- subject + would have + v 3] Correct sentence :  ''Had Rajani not taken a cab to the station she wou ld have definitely missed  the train.''",Had Rajani not taken/a cab to the station/she would have definitely/miss the train,Identify the segment in the sentence which contains the grammatical error.
534,some rest and begun again,the whole day,Having worked for,you should have taken,SSC GD – 18/02/2019 (Shift-II),d,"Ans. (d) : In the above sentence, 'You should have taken, will be used instead of 'you shall have take n', because it is the conditional sentence of past in w hich 'should have + VIIIrd form' would be appropriate.   Correct sentence :-  Having worked for the whole day, you should  have taken some rest and begun again.","Having worked for the whole day, you shall have taken some rest and begun again","From the given options, identify the segment in the sentence which contains the grammatical error."
535,behave accordingly,treating with respect,If children are,they will,SSC MTS – 08/08/2019 (Shift-II),b,"Ans. (b) :  In the above sentence, 'are  treated' would be appropriate in place of 'are treating'. Given sente nce is conditional sentence type-1, in which if clause is used in simple present tense and main clause is used in future indefinite tense.   IIf .simple present, will / shall V form + +   because 'if' clause is in passive voice. Hence, use  of the are + V 3 would be appropriate.   Correct sentence-  If children are treated  with respect, they will behave accordingly.","If children are treating with respect, they will behave accordingly",Identify the segment in the sentence which contains the grammatical error from the given options.
536,I can have,gone to the library,borrowed a book,If I had,SSC MTS – 16/08/2019 (Shift-I),a,"Ans. (a) :  In the above sentence, 'could have' would be appropriate in place of 'can have'. The Given sente nce is conditional type-III. Whose structure is as foll ows– IIIIf past perfect, (would have / could have) V form+ + Correct sentence :  If I had gone to the library I could have  borrowed a book.",If I had gone to the library I can have borrowed a book,Identify the segment in the sentence which contains the grammatical error.
537,after their,If they had,school is over,they can play,SSC GD – 14/02/2019 (Shift-II),d,"Ans. (d) :  In the above sentence, 'they could play' would be appropriate  instead of 'they can play' Because this is conditional sentence of simple sent ence whose structure is–  If +  subject + simple past tense + subject + would/could/might + verb in base form (V3). 1If simple past, would / could V+ +  Correct sentence :-  If they had a playground here, they could  play after their school is over.    J.   I.  Noun Case, Gender, Number","If they had a playground here, they can play after their school is over",From the given options identify the segment in the sentence which contains the grammatical error.
538,No error,I just don't,like the themes of,todays music.,SSC CHSL (Tier-I) 10/03/2023 (Shift-III),d,"Ans. (d) :  In the above sentence ""today's"" will be used in place of ""todays"" because to show Possession Apostrophe ('s) is used with related noun.  Today's music – Music of Today  Correct Sentence–  I just don't like the themes of today's  music",I just don't like the themes of todays music,"Find the part of the given sentence that has an error in it If there is no error, choose 'No error'."
539,mangoes from,We bought,the market,two dozen's,SSC CGL (Tier-I) 20/04/2022 Shift-III,d,"Ans. (d) :  Some numbers (hundred, thousand, lakh, Million, billion dozens) are used both singular and  plural. If definite number (one, two, three.....) h as been used before them, then their plural is not made. So  we will replace two dozens with two dozen.   Correct Sentence -  We bought two dozen  mangoes from the market.",We bought / two dozen's / mangoes from / the market,The following sentence has been split into fo ur segments Identify the segment that contains a grammatical error.
540,No error,five month old,My neighbour's grandson,is only,SSC CGL (Tier-I) 13/04/2022 Shift-II,b,"Ans. (b) :  In the above sentence, 'Months' will be used in place of 'Month'. Because plural noun is used af ter five (plural number).  Correct Sentence- My neighbour's grandson is only Five months  old.",My neighbour's grandson / is only / five month old,"The following sentence has been divided into parts One of them contain an error Select the part that contains the error from the given options If you don't find any error, mark 'No error' as your answer."
541,from my brother,It was a surprising,No error,to receive the gift,SSC CGL (Tier-I) 12/04/2022 Shift-I,b,"Ans. (b) : In the above sentence 'A surprise' will be used instead of 'a surprising' because according to  the sense of sentence, Noun form is required here.   Correct Sentence – It was a surprise  to receive the gift from my brother.",It was a surprising / to receive the gift/ from m y brother,"The following sentence has been divided into parts One of them may contain an error Select the part that contains the error from the given options If you don’t find any error, mark ‘No error’ as your answer."
542,we advice them to do,before the final match,They finally did what,No error,SSC MTS-13/07/2022 Shift-I,a,"Ans. (a) :  In the above sentence, 'we advise (verb) them to do' will be used instead of 'we advice (noun) th em to do', because verb (advise) is used after subject 'w e', not noun (advice).  Correct Sentence  – They finally did what we advise  them to do before the final match",They finally did what / we advice them to do / before the final match,"The following sentence has been divided into parts One of them may contain an error Select the part that contains the error from the given options If you don't find any error, mark 'No error' as your answer."
543,Human being are,resources,the producers and the,consumers of Earth's,SSC MTS-06/07/2022 Shift-III,a,"Ans. (a) :  In the above sentence Instead of 'Human being are', 'human beings are' will be used because  'Human being' is always used in plural sense.  Correct Sentence  – Human beings are  the producers and the consumers of Earth's resources.",Human being are / the producers and the / consumers of Earth's / resources,The following sentence has been split into fo ur segments Identify the segment that contains a grammatical error.
544,No error,land revenue was one of the,major source of income,for Britishers in India,SSC MTS-08/07/2022 Shift-I,c,"Ans. (c) :  In the above sentence, 'major sources of income' would be appropriate instead of 'major sour ce of income', because plural noun (Major Sources) is used after 'one of the'.     Correct Sentence  – Land revenue was one of the major sources  of income for Britishers in India.",Land revenue was one of the / major / source of income / for Britishers in India,"The following sentence has been divided into parts One of them may contain an error Select the part that contains the error from the given options If you don't find any error, mark 'No error' as your answer."
545,with a look,turned to him,The man,of disapprove,SSC Constable GD-16/11/2021 Shift-III,d,"Ans. (d) :  In the above sentence 'Disapproval' (noun) would be appropriate instead of 'disapprove' (verb)  because according to the sense of sentence, Noun fo rm (disapproval) is required here.  Correct sentence -  The man turned to him with a look of disapproval .",The man turned to him with a look of disapprove,The following sentence has been split into fou r segments Identify the segment that contains a grammatical error.
546,before going home,the staff to complete,the manager told,all the works,SSC Constable GD-08/12/2021 Shift-I,d,"Ans. (d) :  In the above sentence, 'all the work' will be used in place of 'all the works', because 'work' is  an uncountable noun and uncountable noun is not made plural by adding 's/es'. Correct sentence  - The manger told the staff to complete all the work  before going home.",The manager told/the staff to complete/all the works/before going home,The following sentence has been split into four segments Identify the segment that contains a grammatical error.
547,provocation,He loses,the slightest,his tempers on,SSC CGL (Tier-II) 16/11/2020 (3 pm - 5 pm),d,"Ans. (d) :  In the above sentence, 'his temper on' will be used in place of 'his tempers on', because 'temper'  is an uncountable. Hence its plural will not be formed. Correct sentence-  He loses his temper on  the slightest provocation.",He loses his tempers on the slightest provocation,Identify the segment in the sentence which contains a grammatical error.
548,The man played,The flute and led,all the mouse,out of the town,SSC CGL (Tier-II) 16/11/2020 (3 pm - 5 pm),c,"Ans. (c) :  In the above sentence, 'Mice' will be used in place of 'Mouse', because 'all' is used with plural  noun and 'mice' is the plural number of 'mouse'. Correct sentence - The man played the flute and led all the mice  out of the town.",The man played the flute and led all the mouse out of the town,Identify the segment in the sentence which contains a grammatical error.
549,The chart papers,among all,were distributed,the childrens,SSC CPO-SI (Tier-II) 27/09/2019 (3 pm - 5 pm),d,"Ans. (d) : In the above sentence Instead of 'childrens', 'Children 'will be used because'. Children is a plu ral number of 'child'.  Correct sentence -  The chart papers were distributed among all the children .Spotting Error 83 YCT",The chart papers were distributed among all the childrens,"Identify the segment in the sentence, which contains the grammatical error."
550,the most feared form,is one of,of communication,Public speaking,SSC CHSL (Tier-I) –19/04/2021 (Shift-I),a,"Ans. (a) :  In the above sentence, 'forms' will be used in place of 'form' because plural noun is used after ' one of the'.  Correct Sentence -   Public speaking is one of the most feared forms  of communication.",Public speaking/is one of/ the most feared form/of communication,The following sentence has been split into fo ur segments Identify the segment that contains a grammatical error.
551,in this shop,The furnitures,is,very costly,SSC Stenographer Grade C&D –05/02/2019 (3:5pm),b,Ans. (b) :  In the above sentence 'Furniture' will be used instead of 'furnitures' because 'furniture' ca n not be formed plural by adding 's/es'. Correct sentence -  The furniture  in this shop is very costly.,The furnitures in this shop is very costly,Identify the segment in the sentence which contains the grammatical error.
552,are fond of,in the garden,The childrens,climbing the mango tree,SSC CHSL (Tier-I) –09/07/2019 (Shift-III),c,"Ans: (c) In the above sentence, 'the children' will be used instead of 'the childrens', because children i tself is plural, its singular is child. Hence there is no ne ed to make plural by putting 's' in it.  Correct Sentence :-  The children  are fond of climbing the mango tree in the garden.",The childrens are fond of climbing the mango tree in the garden,Identify the segment in the sentence which contains the grammatical error.
553,before they themselves got into it,for the luggages,They had to wait,to be put into the cab,SSC CHSL (Tier-I) 17/03/2020 (Shift-I),b,"Ans. (b) In the above sentence, 'for the luggage, will be used in place of for the Luggages, because plural o f luggage can not be formed by adding 's/es'.  Correct Sentence :  The had to wait for the lugguage  to be put into the cab before they themselve got into it.",They had to wait for the luggages to be put into the cab before they themselves got into it,"Select the segment in the sentence, which contains the grammatical error."
554,Subhash Gidwani is selling dolls,held in january every year in Delhi,which are type of Madhya Pradesh's village culture,in the annual Dastakar Bazaar,SSC CHSL (Tier-I) 21/10/2020 (Shift-II),c,"Ans. (c) :  In the above sentence, 'the village culture of Madhya Pradesh' will be used instead of 'Madhya Pradesh's village culture. Because apostrophe 's' i s used for living thing noun to form possessive case and 'of' is used for non living thing to form possessio n.   Correct Sentence :-  Subhash Gidwani is selling dolls, which are type of  the village culture of Madhya Pradesh  at the Annual Dastakar Bazaar, held in January every year in Delh i.","Subhash Gidwani is selling dolls, which are type of Madhya Pradesh's village culture at the Annual Dastakar Bazaar, held in January every year in Delhi",In the sentence identify the segment which contains the grammatical error.
555,This furnitures has,in the college,been taken,on hire for the function,SSC CHSL (Tier-I) 17/03/2020 (Shift-II),a,Ans. (a) :  In the above sentence 'This furniture has' would be appropriate instead of 'this furnitures ha s' because the plural of furniture is not formed by ad ding s/es. One piece of furniture Two pieces  of furniture Correct Sentence :-  This furniture  has been taken on hire for the function in the college.,This furnitures has been taken on hire for the function in the college,"Select the segment in the sentence, which contains a grammatical error."
556,a grand opening,the commonwealth Games had,cultural performings,with spectacular,SSC CHSL (Tier-I) 15/10/2020 (Shift-II),c,"Ans. (c) :  In the above sentence, 'cultural performances' would be appropriate in place of cult ural performings. Because 'noun' will be used after cult ural (adjective). Hence the use of performance (noun) is  appropriate.        Correct Sentence :-  The Commonwealth Games had a grand opening ceremony with spectacular cultural performances .",The Commonwealth Games had a grand opening ceremony with spectacular cultural performings,In the given sentence identify the segment which contains the grammatical error.
557,to see her off,presented at the station,Her relatives were,No error,SSC MTS – 06/08/2019 (Shift-III)Spotting Error 84 YCT,b,"Ans. (b) :  In the above sentence Present (Noun) will be used in place of 'presented' (verb) because if w ere presented (III form of verb) is used in the sentenc e, it will be in passive voice. Which will not give prope r sense.   Correct Sentence :-  Her relatives were present  at the station to see her off.",Her relatives were presented at the station to see her off/No error,"Find the part of the given sentence that has an error in it If there is no error, choose 'No error'"
558,possible to discuss,anything with her,because of her angry,It is not,SSC MTS – 22/08/2019 (Shift-III),c,Ans. (c) :  In the above sentence 'Because of her anger' will be used instead of 'because of her angry' beca use 'angry' is an adjective' while noun is used after h er (possessive adjective). Hence here 'anger' will be used because as a noun.   Correct sentence :-   It is not possible to discuss anything with her bec ause of her anger .,It is not possible to discuss anything with her because of her angry,Identify the segment in the sentence which contains the grammatical error.
559,No error,few and far between,My visiting to,my family are,SSC MTS – 02/08/2019 (Shift-III),c,"Ans. (c) :  In the above sentence, 'my visits' will be used instead of 'my visiting to'. Because 'my' is a  determiner which is always used before noun and for  plural verb 'are' 'visits' (plural noun) will be us ed.  Correct sentence :-   My visits  to my family are few and far between.",My visiting to my family are few and far between,"Find the part of the given sentence that has an error in it If there is no error, choose 'No error'."
560,Costlier than,Platinum is,found on earth,any other metals,SSC MTS – 19/08/2019 (Shift-II),d,"Ans. (d) :  In the above sentence 'Metal' would be appropriate in place of 'metals' because singular n oun is used with any other. Correct sentence :  ''Platinum is costlier than any other metal  found on earth.""",Platinum is costlier than any other metals found on earth,Identify the segment in the sentence which contains the grammatical error.
561,they went,after a heated argument,respective place,to their,SSC MTS – 19/08/2019 (Shift-I),c,"Ans. (c) :  In the above sentence, 'respective places' will be used instead of 'respective place', because  it is clear from the use of plural possessive adjective ( their) in the sentence that noun also will be plural after  it. Hence, the use of 'places' would be appropriate. Correct Sentence :-  ''After a heated argument they went to their respec tive Places .''",After a heated argument they went to their respective place,Identify the segment in the sentence which contains the grammatical error.
562,not available in,in the neighborhood market,any of the shop,this coffee is,SSC MTS – 14/08/2019 (Shift-III),c,"Ans. (c) :  In the above sentence, 'any of the shops, will be used in place of 'any of the shop'. Because plur al form of noun/pronoun is used after 'any of the'.  Hence the use of shops (plural) would be appropriat e.  Correct Sentence :-  This coffee is not available in any of the shops  in the neighborhood market.",This coffee is not available in any of the shop in the neighborhood market,Identify the segment in the sentence which contains the grammatical error.
563,before going for,its a good idea to,an interview,read up on a company,SSC MTS – 09/08/2019 (Shift-II),b,Ans. (b) :  In the above sentence 'It's' would be appropriate instead of 'its' because 'its' is posse ssive adhective which will not be used instead of subject . The sort form of it's is it is and it is used in pl ace of subject + verb.  Correct Sentence :-   It's a good idea to read up on a company before going for an interview.,Its a good idea to read up on a company before going for an interview,Identify the segment in the sentence which contains the grammatical error from the given options.
564,The sense,most important,gift to us,is one of the,SSC GD – 08/03/2019 (Shift-II),c,"Ans. (c) : In the above sentence, 'gifts' will be used in place of gift, because noun is always used in plura l form after one of the. Correct sentence :-  The sense of sight is one of the most important sen ses gifts to us.",The sense of sight is one of the most important senses gift to us,Identify the segment in the sentence which contains the grammatical error from the given options.
565,because of,disease or injury,their eye sights,some people,SSC GD – 08/03/2019 (Shift-II)Spotting Error 85 YCT,c,"Ans. (c) : In the above sentence, 'their eye sight' will be used instead of 'their eye sights' because uncountable noun are usually not made plural by adding s/es. Since 'eye sight' is an uncountable no un, hence s/es will not be used.  Correct sentence :-  Some people lose their eye sight  because of a disease or injury.",Some people lose their eye sights because of a disease or injury,Identify the segment in the sentence which contains the grammatical error from the given options.
566,they also protect,Animals experience,as human does,feelings of love,SSC GD – 02/03/2019 (Shift-II),d,"Ans. (d) :  In the above sentence, 'feeling of love' will be used instead of 'feelings of love' because plura l is not made by adding s/es in abstract noun.  Hence 'feeling' is used without s/es.   Correct sentence :-  Animals experience feeling  of love and they also protect their young ones from difficulties as human  does.",Animals experience feelings of love and they also protect their young ones from difficulties as human does,"From the given options, identify the segment in the sentence which contains the grammatical error."
567,to be said,There is few,on both sides,No error,SSC MTS – 07/08/2019 (Shift-II),b,"Ans. (b) :  In the above sentence, 'There is little' will be used instead of 'there is few', because 'few' is us ed for countable noun while little is used for uncountable  noun. Hence 'to be said' is used here in uncountabl e sense.  Hence the use of little would be appropriate.  Correct Sentence-  There is little  to be said on both sides.  J.  Voice .and Narration",There is few to be said on both side/No error,"Find the part of the given sentence that has an error in it If there is no error, choose 'No error'"
568,so easily,the complex puzzle,Ajit asked me,how could I solve,SSC Constable GD-02/12/2021 Shift-I,d,Ans. (d) :  In the above sentence 'how I could solve' will be used in place of 'how could I solve' because the  sentence is in interrogative sentence of Indirect. So it will be written in the form of assertive sentence.  Correct sentence- Ajit asked me how I could solved  the complex puzzle so easily.,Ajit asked me/how could I solve/the complex puzzle/so easily,The following sentence has been split into four segments Identify the segment that contains a grammatical error.
569,she broke down,the burglar was made,in tears,When Nancy saw the mess,SSC Constable GD-14/12/2021 Shift-III,b,"Ans. (b) :  In the above sentence 'the burglar made' will be used in place of 'the burglar was made' because  the sense of the sentence is in past and active voice, So ""Subject +_ verb 2"" will be used. And 'that' will be used as conjunction. Correct Sentence–  When Nancy saw the mess that burglar made  she broke down in tears.","When Nancy saw the mess / the burglar was made, / she broke down / in tears",The following sentence has been split into fo ur segments Identify the segment that contains a grammatical error.
570,instructions on YouTube,to be followed,the easiest way,make pasta,SSC Constable GD-07/12/2021 Shift-II,b,Ans. (b) :  In the above sentence 'to follow' will be used in place of 'to be followed' because sentence is in  Active voice of present tense.   Correct sentence – The easiest way to make pasta is to follow  chef Kapoor’s instructions on you tube.,The easiest way to make pasta is to be followed Chef Kapoor's instructions on YouTube,Parts of the given sentence have been given as options One of them contains a grammatical error Select the option that has the error.
571,A heat wave,when the,is declare,or is above,SSC Stenographer (Grade C & D) 11.11.2021 Shift-I,c,Ans. (c) :  In the given sentence 'is declared' will be used in the place of 'is declare' because the sentence i s in passive voice of present Indefinite tense.  Active voice - sub + V1 + object Passive voice - obj + is/am/are + v3 + by + sub Correct Sentence- (A heat wave is declared  when the maximum temperature hits 45º celsius or is above 40º celsiu s in summer.),A heat wave is declare when the maximum temperature hits 45º Celsius or is above 40º Celsius in summer,Identify the segment in the sentence which contains a grammatical error.
572,was the reason,He wondered what,for her refusal,to accompany him,SSC CPO-SI – 23/11/2020 (Shift-II) Spotting Error 86 YCT,a,"Ans. (a) :  In the above sentence, ‘the reason was’ will be used in place of ‘was the reason’. Because the above sentence is in indirect speech. So the interrogative of reported speech will change into assertive.  In sentence ‘what’ is used as a conjunction to conn ect both clauses.  Correct sentence :-  He wondered what the reason was  for her refusal to accompany him.",He wondered what was the reason for her refusal to accompany him,Identify the segment in the sentence which contains a grammatical error.
573,The staff,in office,to maintain,is being advise,SSC Stenographer (Grade C & D) 11.11.2021 Shift-I,d,"Ans. (d) :  In the above sentence,  ‘is being advise’ would be appropriate instead of ‘is being advised’.  Because ‘sentence’ is used in  passive voice. In passive-  is + being + V3  Correct Sentence - The staff is being advised  to maintain distance while seated in office.",The staff is being advise to maintain distance while seated in office,"In the given sentence, identify the segment which contains a grammatical error."
574,today's world,teaching your children,have to be adopting,new ways of,SSC Stenographer (Grade C & D) 15.11.2021 Shift-II,c,Ans. (c) :  In the above sentence ‘Have to be adopted’ would be appropriate instead of ‘have to be adoptin g’ because ‘be + VIII’ is used in passive voice. Correct sentence:- In today's world new ways of teaching young childre n have to be adopted .,In today's world new ways of teaching young children have to be adopting,In the sentence identify the segment that contains a grammatical error.
575,was following by,I decided,I realised,to change,SSC Stenographer (Grade C & D) 15.11.2021 Shift-I,a,"Ans. (a) :  In the given sentence, ‘was being followed by’ will be used instead of ‘was following by’ Beca use ‘sentence’ is used in passive voice.  In passive-  was + being + V3  is used.",When I realised I was following by some street boys I decided to change my route,In the sentences identify the segment that contains a grammatical error.
